Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTest,Chrome 73.0.3683.86,,2019-04-03 15:54:12,2019-04-03 15:54:34,21.805s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_nagative_Validation,Chrome 73.0.3683.86,,2019-04-03 15:54:13,2019-04-03 15:54:25,12.466s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-03 15:54:13,2019-04-03 15:54:22,8.846s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_nagative_Validate""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-03 15:54:22,2019-04-03 15:54:24,2.620s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-03 15:54:24,2019-04-03 15:54:25,0.764s,PASSED
,,,,,,
Test Cases/OCS_Page_Test/Login_Validate/Login_positive_validate,Chrome 73.0.3683.86,,2019-04-03 15:54:25,2019-04-03 15:54:34,9.126s,PASSED
"callTestCase(findTestCase(""SetUpp/SetUp""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-03 15:54:25,2019-04-03 15:54:33,7.940s,PASSED
"callTestCase(findTestCase(""OCS_Page/Login_Page/LoginPage_Positive_validate""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-03 15:54:33,2019-04-03 15:54:34,0.426s,PASSED
"callTestCase(findTestCase(""TearDown/Broweser _close""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.86,,2019-04-03 15:54:34,2019-04-03 15:54:34,0.643s,PASSED
